event_id,event_name,genre,date,venue_name,latitude,longitude,ticket_price,organizer,description
0570382e,Tech Fest 2026,Comedy,2025-09-23,UWM Campus,43.0766,-87.88,$164,Taste of Milwaukee,Workshops and interactive exhibits.
053ac680,Food Fest 2025,Family,2025-12-10,Discovery World,43.0387,-87.8966,$17,Local Arts Council,Workshops and interactive exhibits.
3e1be8bb,Art Fest 2025,Sports,2025-09-22,Potawatomi Hotel,43.0339,-87.9332,$35,Comedy Nights WI,Family-friendly activities and vendors.
975a9164,Music Fest 2025,Comedy,2025-11-17,Turner Hall Ballroom,43.0432,-87.9105,$50,UWM Student Union,Top comedians on stage.
d4d1d7db,Music Fest 2026,Education,2025-10-15,Milwaukee Art Museum,43.0389,-87.8971,$42,Wisconsin Tech Society,"Discover flavors, music, and culture."
f46887c3,Education Fest 2025,Comedy,2025-09-01,Bradley Symphony Center,43.0385,-87.906,Free,Milwaukee Events Co.,Live performances and great vibes.
2ffe4109,Tech Fest 2024,Food,2025-12-15,Bradley Symphony Center,43.0385,-87.906,$25,Taste of Milwaukee,Networking and inspiration for professionals.
b999abb8,Sports Fest 2024,Family,2025-09-09,Potawatomi Hotel,43.0339,-87.9332,$64,Midwest Startups,Workshops and interactive exhibits.
15a96a07,Business Fest 2026,Sports,2025-09-08,Marcus Performing Arts Center,43.0415,-87.9098,$100,Wisconsin Tech Society,Top comedians on stage.
be164b35,Education Fest 2024,Education,2025-11-05,Milwaukee Art Museum,43.0389,-87.8971,$12,Taste of Milwaukee,Workshops and interactive exhibits.
6b59d68e,Music Fest 2026,Family,2025-10-25,Fiserv Forum,43.0437,-87.9172,Free,City of Milwaukee,Workshops and interactive exhibits.
39c71e28,Cultural Fest 2024,Food,2025-10-28,Milwaukee Art Museum,43.0389,-87.8971,$22,Wisconsin Tech Society,Live performances and great vibes.
4eacb7d9,Education Fest 2025,Business,2025-10-11,Fiserv Forum,43.0437,-87.9172,Free,MKE Live,Live performances and great vibes.
10ee535f,Sports Fest 2024,Education,2025-11-26,Marcus Performing Arts Center,43.0415,-87.9098,$79,Milwaukee Events Co.,Top comedians on stage.
02b59704,Family Fest 2026,Cultural,2025-09-18,Turner Hall Ballroom,43.0432,-87.9105,Free,Taste of Milwaukee,"Discover flavors, music, and culture."
5399127f,Sports Fest 2024,Food,2025-09-23,Potawatomi Hotel,43.0339,-87.9332,$44,Lakefront Promotions,Live performances and great vibes.
aed676c1,Food Fest 2026,Art,2025-09-25,Turner Hall Ballroom,43.0432,-87.9105,Free,UWM Student Union,Networking and inspiration for professionals.
1f978a02,Sports Fest 2025,Business,2025-11-02,Turner Hall Ballroom,43.0432,-87.9105,$47,Taste of Milwaukee,"Discover flavors, music, and culture."
2ed721f0,Family Fest 2025,Food,2025-12-10,Potawatomi Hotel,43.0339,-87.9332,Free,UWM Student Union,Live performances and great vibes.
6ea036be,Education Fest 2025,Education,2025-11-17,Pabst Theater,43.0431,-87.9104,Free,City of Milwaukee,Workshops and interactive exhibits.
680ef32f,Comedy Fest 2024,Food,2025-08-28,Bradley Symphony Center,43.0385,-87.906,$22,Comedy Nights WI,Live performances and great vibes.
34804e6b,Tech Fest 2024,Family,2025-09-18,Fiserv Forum,43.0437,-87.9172,$200,City of Milwaukee,Top comedians on stage.
a3875ec3,Tech Fest 2024,Cultural,2025-09-26,Bradley Symphony Center,43.0385,-87.906,Free,Comedy Nights WI,Family-friendly activities and vendors.
959dec40,Tech Fest 2026,Cultural,2025-12-08,Potawatomi Hotel,43.0339,-87.9332,Free,Midwest Startups,Top comedians on stage.
a64432d1,Tech Fest 2026,Food,2025-08-24,Marcus Performing Arts Center,43.0415,-87.9098,$20,Comedy Nights WI,"Discover flavors, music, and culture."
a6bf0690,Cultural Fest 2025,Sports,2025-10-25,Bradley Symphony Center,43.0385,-87.906,$27,Local Arts Council,Family-friendly activities and vendors.
9d90b166,Art Fest 2024,Cultural,2025-10-02,Potawatomi Hotel,43.0339,-87.9332,$32,UWM Student Union,Live performances and great vibes.
e53aa480,Music Fest 2025,Education,2025-12-12,Pabst Theater,43.0431,-87.9104,$36,Wisconsin Tech Society,"Discover flavors, music, and culture."
1c2d2cba,Education Fest 2025,Tech,2025-10-26,Potawatomi Hotel,43.0339,-87.9332,$17,MKE Live,Workshops and interactive exhibits.
5769c079,Art Fest 2026,Food,2025-12-01,Potawatomi Hotel,43.0339,-87.9332,$36,Wisconsin Tech Society,"Discover flavors, music, and culture."
bb145ecf,Business Fest 2025,Food,2025-11-03,Milwaukee Art Museum,43.0389,-87.8971,$181,Milwaukee Events Co.,Live performances and great vibes.
1f10d62c,Food Fest 2025,Music,2025-09-12,Pabst Theater,43.0431,-87.9104,$35,UWM Student Union,"Discover flavors, music, and culture."
1897f7a7,Comedy Fest 2025,Sports,2025-10-05,Milwaukee Art Museum,43.0389,-87.8971,$30,Taste of Milwaukee,Live performances and great vibes.
